Mês,Contrato,Cliente,Valor,Status,Data Criação
Set/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Set/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Set/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pago,13/11/2025
Out/25,Desenvolvimento IA,N/A,2500.00,Pago,13/11/2025
Out/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Out/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Out/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pago,13/11/2025
Nov/25,Desenvolvimento IA,N/A,2500.00,Pago,13/11/2025
Nov/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Nov/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Nov/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Mar/25,Desenvolvimento IA,N/A,2500.00,Pago,13/11/2025
Mar/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Mar/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Mar/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pago,13/11/2025
Mar/25,Desenvolvimento Sistema ERP,N/A,100000.00,Pago,12/11/2025
Mai/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Mai/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Mai/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Mai/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Mai/25,Desenvolvimento Sistema ERP,N/A,100000.00,Pendente,12/11/2025
Jun/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Jun/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Jun/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Jun/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Jul/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Jul/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Jul/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Jul/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Jan/25,Desenvolvimento IA,N/A,2500.00,Pago,13/11/2025
Jan/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Jan/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Jan/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pago,13/11/2025
Jan/25,Desenvolvimento Sistema ERP,N/A,100000.00,Pago,12/11/2025
Fev/25,Desenvolvimento IA,N/A,2500.00,Pago,13/11/2025
Fev/25,Consultoria DevOps,N/A,12500.00,Pago,13/11/2025
Fev/25,Modernização Infraestrutura,N/A,25000.00,Pago,13/11/2025
Fev/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pago,13/11/2025
Fev/25,Desenvolvimento Sistema ERP,N/A,100000.00,Pago,12/11/2025
Dez/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Dez/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Dez/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Dez/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Ago/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Ago/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Ago/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Ago/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Abr/25,Desenvolvimento IA,N/A,2500.00,Pendente,13/11/2025
Abr/25,Consultoria DevOps,N/A,12500.00,Pendente,13/11/2025
Abr/25,Modernização Infraestrutura,N/A,25000.00,Pendente,13/11/2025
Abr/25,Desenvolvimento Sistema ERP,N/A,41666.67,Pendente,13/11/2025
Abr/25,Desenvolvimento Sistema ERP,N/A,100000.00,Pendente,12/11/2025